"","No","Q_Y","Q","M_Y","Period","diff_gap","diff_oil","diff_exchange","diff_VNI","diff_CPI","diff._goldreserve","diff_interest","log_M2","diff_demandVN"
"1195",1195,"Q3-2014","Q3","8-2014",41862,-23699.8676998653,0.480000000000004,-10,-3.29999999999995,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1196",1196,"Q3-2014","Q3","8-2014",41863,5090.90909091011,-0.730000000000004,-10,-0.350000000000023,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1197",1197,"Q3-2014","Q3","8-2014",41864,-88980.5329805352,0.209999999999994,5,0.980000000000018,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1198",1198,"Q3-2014","Q3","8-2014",41865,7424.30542430282,-2.02999999999999,5,2.49000000000001,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1199",1199,"Q3-2014","Q3","8-2014",41866,110513.702513706,1.75999999999999,0,-1.00999999999999,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1200",1200,"Q3-2014","Q3","8-2014",41869,73787.5637875646,-0.859999999999999,-5,0.840000000000032,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1201",1201,"Q3-2014","Q3","8-2014",41870,11621.6216216236,-2.09,0,-0.440000000000055,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1202",1202,"Q3-2014","Q3","8-2014",41871,-12785.8627858683,2.05000000000001,0,2.06000000000006,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1203",1203,"Q3-2014","Q3","8-2014",41872,215363.82536383,-2.43000000000001,0,6.24000000000001,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1204",1204,"Q3-2014","Q3","8-2014",41873,-48440.7484407462,-0.359999999999999,0,7.19999999999993,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1205",1205,"Q3-2014","Q3","8-2014",41876,-54017.3880173936,1.78,5,5.74000000000001,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1206",1206,"Q3-2014","Q3","8-2014",41877,-68931.3929313906,0.390000000000001,5,3.17999999999995,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1207",1207,"Q3-2014","Q3","8-2014",41878,54966.9249669202,0.039999999999992,-15,-0.289999999999964,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1208",1208,"Q3-2014","Q3","8-2014",41879,-78830.8448308408,0.620000000000005,0,3.25999999999999,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1209",1209,"Q3-2014","Q3","8-2014",41880,26413.1544131562,1.42,0,4.62,0.00349999999999995,-4.34999999999997,-0.003,0.0157739578624012,-8.93
"1210",1210,"Q3-2014","Q3","9-2014",41884,-576299.754299756,-4.94,0,-10.1542857142858,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1211",1211,"Q3-2014","Q3","9-2014",41885,692387.072387069,2.58,15,14.2542857142859,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1212",1212,"Q3-2014","Q3","9-2014",41886,125206.577206582,-0.989999999999995,-15,-0.529999999999973,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1213",1213,"Q3-2014","Q3","9-2014",41887,-101203.175203178,-1.19000000000001,0,-1.57000000000005,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1214",1214,"Q3-2014","Q3","9-2014",41890,239659.421659425,-0.679999999999993,0,1.20000000000005,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1215",1215,"Q3-2014","Q3","9-2014",41891,-25573.23757324,0.0900000000000034,0,-12.9300000000001,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1216",1216,"Q3-2014","Q3","9-2014",41892,-47185.0311850309,-1.02000000000001,0,1.88,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1217",1217,"Q3-2014","Q3","9-2014",41893,28272.9162729122,1.18000000000001,10,0.190000000000055,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1218",1218,"Q3-2014","Q3","9-2014",41894,59388.7733887732,-0.709999999999994,-10,3.50999999999999,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1219",1219,"Q3-2014","Q3","9-2014",41897,-39216.7832167745,0.679999999999993,0,-2.15999999999997,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1220",1220,"Q3-2014","Q3","9-2014",41898,74392.7423927374,2.05,0,-2.68000000000006,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1221",1221,"Q3-2014","Q3","9-2014",41899,-1862.40786240995,-0.579999999999998,5,-2,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1222",1222,"Q3-2014","Q3","9-2014",41900,35372.8973729014,-1.26000000000001,15,-9.86000000000001,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1223",1223,"Q3-2014","Q3","9-2014",41901,275792.099792097,-0.639999999999986,-10,-2.50999999999999,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1224",1224,"Q3-2014","Q3","9-2014",41904,-213217.161217161,-0.970000000000013,10,-1.36000000000001,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1225",1225,"Q3-2014","Q3","9-2014",41905,-16513.3245133236,0.0900000000000034,10,-1.53999999999996,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1226",1226,"Q3-2014","Q3","9-2014",41906,37677.9436779469,2.05,-10,-6.79999999999995,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1227",1227,"Q3-2014","Q3","9-2014",41907,-101651.10565111,-0.00999999999999091,0,1.50999999999999,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1228",1228,"Q3-2014","Q3","9-2014",41908,173739.557739563,1.95999999999999,0,-0.120000000000005,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1229",1229,"Q3-2014","Q3","9-2014",41911,-142079.758079764,-1.02,30,-5.20000000000005,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1230",1230,"Q3-2014","Q3","9-2014",41912,879750.519750521,-3.36,-30,-0.980000000000018,0.00629999999999997,-22.55,-0.002,0.0146177196663065,-8.93
"1231",1231,"Q4-2014","Q4","10-2014",41913,-1445680.58968059,-0.430000000000007,0,10.47,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1232",1232,"Q4-2014","Q4","10-2014",41914,435100.737100735,0.280000000000001,45,3.38999999999999,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1233",1233,"Q4-2014","Q4","10-2014",41915,383739.557739556,-1.25999999999999,-45,-1.11000000000001,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1234",1234,"Q4-2014","Q4","10-2014",41918,-376143.64014364,0.569999999999993,70,2.87,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1235",1235,"Q4-2014","Q4","10-2014",41919,-20362.8803628795,-1.44,0,-0.339999999999918,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1236",1236,"Q4-2014","Q4","10-2014",41920,191088.641088642,-1.59999999999999,-20,3.17999999999995,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1237",1237,"Q4-2014","Q4","10-2014",41921,-198989.982989982,-1.53,-55,7.08000000000004,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1238",1238,"Q4-2014","Q4","10-2014",41922,-14650.5386505425,0.109999999999999,35,-6.62,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1239",1239,"Q4-2014","Q4","10-2014",41925,-105270.837270837,-0.140000000000001,-30,-3.5,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1240",1240,"Q4-2014","Q4","10-2014",41926,-873547.533547528,-4.01000000000001,5,-8.43000000000006,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1241",1241,"Q4-2014","Q4","10-2014",41927,552943.110943109,0.0999999999999943,20,-1.5,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1242",1242,"Q4-2014","Q4","10-2014",41928,201806.085806083,0.510000000000005,-15,-17.12,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1243",1243,"Q4-2014","Q4","10-2014",41929,26536.7605367601,0.469999999999999,20,-1.88999999999999,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1244",1244,"Q4-2014","Q4","10-2014",41932,-151441.315441314,-0.039999999999992,0,3.96000000000004,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1245",1245,"Q4-2014","Q4","10-2014",41933,-91211.4912114926,0.489999999999995,20,11.3099999999999,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1246",1246,"Q4-2014","Q4","10-2014",41934,58377.6223776229,-2.73,-20,1.04000000000008,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1247",1247,"Q4-2014","Q4","10-2014",41935,202915.13891514,2.29000000000001,20,-8.06000000000006,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1248",1248,"Q4-2014","Q4","10-2014",41936,-122663.012663014,-1.54000000000001,10,-2.01999999999998,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
"1249",1249,"Q4-2014","Q4","10-2014",41939,24444.5284445323,-0.00999999999999091,10,-10.71,0.00180000000000002,-0.78000000000003,-0.003,0.00839459370535642,-3.04
